"accountNumber","sourceX","sourceY","sectionCode","locality","municipality"
"1","774196.125584","2450556.74052","1","",""
"10","775495.901348","2450413.31808","1","",""
"1000","781981.809813","2455424.74023","9","",""
"1001","781717.069589","2454904.1248","9","",""
"1003","782428.33973","2455490.31208","9","",""
"1004","782679.402686","2454721.68669","9","",""
"1005","781099.405057","2458332.58692","15","",""
"1006","781815.620019","2456336.52342","9","",""
"1008","781707.633555","2456831.02878","9","",""
"1009","781533.22141","2457186.59406","9","",""
"1010","781758.460859","2457211.4874","9","",""
"1011","781757.814352","2456886.78699","9","",""
"1012","781977.517487","2457241.59163","9","",""
"1013","782098.001032","2456884.16993","9","",""
"1014","782072.2775","2457257.26483","9","",""
"1015","782253.485374","2457131.76941","9","",""
"1016","782313.632217","2457275.47593","9","",""
"1017","782368.696723","2457192.14013","9","",""
"1018","782217.024121","2457047.88823","9","",""
"1019","782640.725805","2456878.12992","9","",""
