"account","sourceRows","exact","selectedRow","matchingFields","conflictingFields","proposal"
"1867","3|21","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"1847","4|26","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1727","36|70|1894","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1718","38|1955","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1756","42|72|1898","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1832","43|1901","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1710","53|91","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1651","58|153","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1728","59|1895","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1726","60|103","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1716","61|1893","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1655","64|1888","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1736","69|1896","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|elevationM|flowLps","sourceX|sourceY|outletCount","Revisar manualmente; existen valores contradictorios."
"1754","77|1952","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1752","78|1897","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1794","82|97","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1673","89|147","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1787","90|1951","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1790","94|1949","false","","sourceCrs|sectionCode|installationYear|outletCount|flowLps","sourceX|sourceY|installationAngleDeg|elevationM","Revisar manualmente; existen valores contradictorios."
"1791","98|1900|1953","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1691","108|1891","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1693","140|1892","false","","sourceCrs|sectionCode|installationYear|flowLps","sourceX|sourceY|installationAngleDeg|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1660","145|1909","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|elevationM|flowLps","sourceX|sourceY|outletCount","Revisar manualmente; existen valores contradictorios."
"1890","164|1902","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1263","175|601","false","","sourceCrs|installationAngleDeg|flowLps","sourceX|sourceY|sectionCode|installationYear|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"2088","178|224","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"1440","235|321","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"844","268|1271","false","","sourceCrs|installationAngleDeg|flowLps","sourceX|sourceY|sectionCode|installationYear|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1393","274|324","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1428","308|311","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|outletCount|flowLps","sourceX|sourceY|elevationM","Revisar manualmente; existen valores contradictorios."
"1427","312|327","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1450","318|328","false","","sourceCrs|sectionCode|installationYear|installationAngleDeg|flowLps","sourceX|sourceY|elevationM|outletCount","Revisar manualmente; existen valores contradictorios."
"1220","322|1517","true","322","sourceX|sourceY|sourceCrs|sectionCode|installationAngleDeg|elevationM|outletCount|flowLps","","Importar una sola fila idéntica."
