"sampleOrder","sourceRow","accountNumber","sectionCode","installationYear","installationAngleDeg","elevationM","outletCount","flowLps","sourceX","sourceY","sourceCrs","selectionReason","warningCodes"
"1","1404","1","1","","135","1906.4003","3","10","774196.125584","2450556.74052","UNKNOWN","section:1","YEAR_INVALID_FORMAT"
"2","897","103","10","2010","0","1902.51","2","10","782377.219787","2450393.21678","UNKNOWN","section:10; year:2010; outlets:2",""
"3","792","1033","9","2014","0","1923.59","3","20","782816.08783","2456808.16392","UNKNOWN","section:9; year:2014; outlets:3; flow:20",""
"4","539","1048","15","2017","0","1925.58","3","10","781075.154776","2458453.04944","UNKNOWN","section:15; year:2017",""
"5","1178","1072","14","2014","0","1921.85","3","10","778503.281249","2459122.92973","UNKNOWN","section:14",""
"6","293","1130","17","2020","0","1938.28","1","10","780035.392076","2464425.65713","UNKNOWN","section:17; year:2020; outlets:1",""
"7","725","1137","8","2022","0","1929.7","3","10","779209.251752","2459704.78841","UNKNOWN","section:8; year:2022",""
"8","234","1223","17","2018","0","1915.77","3","10","782742.065145","2462101.048","UNKNOWN","year:2018",""
"9","1133","1279","12","2017","0","1921.05","3","10","784019.921235","2459826.16879","UNKNOWN","section:12",""
"10","1215","1495","13","2014","0","1937.34","3","10","775519.293414","2455938.38445","UNKNOWN","section:13",""
"11","1907","1497","18","2025","20","1914.0839","3","10","782565.707306","2465283.68027","UNKNOWN","section:18",""
"12","34","1734","19","2025","","1922.5446","0","10","784713.2231","2466116.718","UNKNOWN","section:19; year:2025; angle:NULL; flow:10; null:installationAngleDeg; warning:ANGLE_OUT_OF_RANGE","ANGLE_OUT_OF_RANGE"
"13","1935","1905","16","2024","90","0","2","10","783654.010949","2463542.04379","UNKNOWN","section:16; year:2024",""
"14","1915","235","3","","90","1850.8267","0","10","779843.795217","2448080.77524","UNKNOWN","section:3","YEAR_INVALID_FORMAT"
"15","975","2455","11","2014","0","1917.15","4","10","783955.484221","2455088.11047","UNKNOWN","section:11; outlets:4",""
"16","1905","339","2","","0","1934.3644","3","10","774214.589155","2454178.14552","UNKNOWN","section:2","YEAR_INVALID_FORMAT"
"17","1875","351","4","2023","290","0","3","10","774723.304286","2453405.5069","UNKNOWN","section:4; year:2023",""
"18","1328","397","7","","0","1935.13","0","","775841.97313","2454166.57555","UNKNOWN","section:7; year:NULL; angle:VALUE; outlets:0; flow:NULL; null:installationYear; null:flowLps; warning:YEAR_INVALID_FORMAT","YEAR_INVALID_FORMAT"
"19","1345","670","6","2010","0","1903.7","3","10","780363.251594","2450085.45767","UNKNOWN","section:6",""
"20","1913","762","5","","180","1928.9899","0","10","779294.188115","2451099.00004","UNKNOWN","section:5","YEAR_INVALID_FORMAT"
